id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
130,CCCH 4013,08,Reading and Writing in Chinese,1,14:30,17:20,KEC 711,
131,CCCH 4013,09,Reading and Writing in Chinese,1,08:30,11:20,KEC 809,
132,CCCH 4014,02,Studies of Classical Texts,1,08:30,11:20,KEC 808,
133,CCCU 3002,01,Introduction to Intercultural Communication,4,10:00,12:50,KEC 604,
134,CCCU 3002,02,Introduction to Intercultural Communication,1,08:30,11:20,KEC 705,
135,CCCU 3002,03,Introduction to Intercultural Communication,2,13:00,15:50,KEC 701,
136,CCCU 3002,04,Introduction to Intercultural Communication,3,13:00,15:50,KEC 503,
137,CCCU 3002,05,Introduction to Intercultural Communication,1,13:00,15:50,KEC 503,
138,CCCU 4001,01,Introduction to Film Studies,2,10:00,12:50,KEC 705,
139,CCCU 4001,02,Introduction to Film Studies,3,13:00,15:50,KEC 705,
140,CCCU 4001,03,Introduction to Film Studies,4,14:30,17:20,KEC 705,
141,CCCU 4003,05,Understanding Culture and Everyday Life,3,10:00,12:50,KEC 601,
142,CCCU 4003,06,Understanding Culture and Everyday Life,5,14:30,17:20,KEC 601,
143,CCCU 4003,07,Understanding Culture and Everyday Life,1,11:30,14:20,KEC 508,
144,CCCU 4004,03,Global and Local Cultures,1,08:30,11:20,KEC 503,
145,CCCU 4004,04,Global and Local Cultures,2,14:30,17:20,KEC 806,
146,CCCU 4005,06,Hong Kong and Chinese Societies in Transition,5,14:30,17:20,KEC 806,
147,CCCU 4005,07,Hong Kong and Chinese Societies in Transition,5,08:30,11:20,KEC 907,
148,CCCU 4005,08,Hong Kong and Chinese Societies in Transition,1,08:30,11:20,KEC 701,
149,CCCU 4005,09,Hong Kong and Chinese Societies in Transition,1,08:30,11:20,KEC 806,
150,CCCU 4005,10,Hong Kong and Chinese Societies in Transition,1,14:30,17:20,CIT 1008,
151,CCCU 4005,11,Hong Kong and Chinese Societies in Transition,5,08:30,11:20,CIT 803,
152,CCCU 4006,05,Intercultural Communication and Competence,5,10:00,12:50,KEC 604,
153,CCCU 4006,06,Intercultural Communication and Competence,3,14:30,17:20,KEC 701,
154,CCCU 4006,07,Intercultural Communication and Competence,4,08:30,11:20,KEC 601,
155,CCCU 4006,08,Intercultural Communication and Competence,6,10:00,12:50,KEC 601,
156,CCCU 4006,09,Intercultural Communication and Competence,4,13:00,15:50,KEC 701,
157,CCCU 4006,10,Intercultural Communication and Competence,3,08:30,11:20,KEC 806,
158,CCCU 4006,11,Intercultural Communication and Competence,4,08:30,11:20,KEC 608,
159,CCCU 4006,12,Intercultural Communication and Competence,3,14:30,17:20,KEC 601,
160,CCCU 4006,13,Intercultural Communication and Competence,2,10:00,12:50,KEC 807,
161,CCCU 4006,14,Intercultural Communication and Competence,2,14:30,17:20,KEC 807,
162,CCCU 4007,10,Self-writing and Representation,5,14:30,17:20,KEC 704,
163,CCCU 4007,11,Self-writing and Representation,5,10:00,12:50,KEC 801,
164,CCCU 4007,12,Self-writing and Representation,1,13:00,15:50,KEC 801,
165,CCCU 4007,13,Self-writing and Representation,3,14:30,17:20,KEC 801,
166,CCCU 4007,14,Self-writing and Representation,5,14:30,17:20,KEC 801,
